name;url;author;type
The knack of interaction design ;https://miniver.blogspot.com/2018/05/the-knack-of-interaction-design.html?m=1;Jonathan Korman ;article
Recovery from CFS ;https://recoveryfromcfs.org/ ;Bruce Campbell, PhD;website
On mobile phones, the small web, and able-bodied privilege ;https://whiona.weblog.lol/2023/09/on-mobile-phones-the-small-web-and-able-bodied-privilege ;whiona;article/blog post
Theories of Nonbinary Sexuality ;https://www.youtube.com/watch?v=YrHGbCyAqOU ;Carson Olshansky;comedy video
Basic HTML Competency Is the New Punk Folk Explosion! ;https://coolguy.website/basic-html-competency-is-the-new-punk-folk-explosion/ ;Zach Mandeville ;article
stupid dropdowns;https://bsky.app/profile/almodozo.bsky.social/post/3mmovfyback25 ;Joost ;BlueSky post, private
